id,id_taxonref,plot_name,taxaname,taxonref,family,genus,species,infra,id_rank,dbh,height,strata,flower,fruit,month_obs,bark_thickness,leaf_area,leaf_ldmc,leaf_sla,leaf_thickness,wood_density,elevation,rainfall,holdridge,province,in_forest,in_um,geo_pt
167727,5398,,Retrophyllum minus,Retrophyllum minus (Carrière) C.N.Page,Podocarpaceae,Retrophyllum,Retrophyllum minus,,21,,,,,,,,,,,,,148,2680,3,,false,true,POINT (166.934672768 -22.300568038)
24420,2097,,Basselinia deplanchei,Basselinia deplanchei (Brongn. & Gris) Vieill.,Arecaceae,Basselinia,Basselinia deplanchei,,21,,,,,,,,,,,,,859,3150,3,,false,true,POINT (166.60083875243015 -22.1158476244581)
28447,2283,,Burretiokentia vieillardii,Burretiokentia vieillardii (Brongn. & Gris) Pic.Serm.,Arecaceae,Burretiokentia,Burretiokentia vieillardii,,21,9.7000000000000011,,,false,false,4,,,,,,,416,2510,3,,false,false,POINT (165.25465393 -21.1871357)
4308,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.00,,,false,true,11,,,,,,,877,3310,3,,false,true,POINT (166.24382019 -21.66564941)
4302,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,11,,,,,,,857,3310,3,,false,true,POINT (166.2424469 -21.66603088)
4303,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.70,,,false,false,11,,,,,,,857,3310,3,,false,true,POINT (166.2424469 -21.66603088)
4330,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.40,,,false,false,10,,,,,,,491,2350,3,,false,true,POINT (166.59246826 -22.15348816)
4331,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.40,,,false,false,10,,,,,,,491,2350,3,,false,true,POINT (166.59246826 -22.15348816)
4332,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,7.00,,,false,false,10,,,,,,,491,2350,3,,false,true,POINT (166.59246826 -22.15348816)
4312,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4313,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.40,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4314,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.70,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4315,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.00,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4316,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.40,,,false,false,11,,,,,,,717,1990,2,,false,true,POINT (166.44728088 -22.0760231)
4323,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.70,,,false,false,10,,,,,,,890,2870,3,,false,true,POINT (166.5025177 -22.04243279)
4324,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,11,,,,,,,497,2350,2,,false,true,POINT (166.59121704 -22.15519142)
4325,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.40,,,false,false,11,,,,,,,497,2350,2,,false,true,POINT (166.59121704 -22.15519142)
4326,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.60,,,false,false,11,,,,,,,497,2350,2,,false,true,POINT (166.59121704 -22.15519142)
4327,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.70,,,false,false,11,,,,,,,497,2350,2,,false,true,POINT (166.59121704 -22.15519142)
4334,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,9,,,,,,,366,2350,2,,false,true,POINT (166.595047 -22.15984917)
4340,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.00,,,false,false,9,,,,,,,366,2350,2,,false,true,POINT (166.59526062 -22.15983963)
4341,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.10,,,false,false,9,,,,,,,366,2350,2,,false,true,POINT (166.59526062 -22.15983963)
4342,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,5.30,,,true,false,9,,,,,,,366,2350,2,,false,true,POINT (166.59526062 -22.15983963)
4343,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.00,,,false,false,11,,,,,,,754,3070,3,,false,true,POINT (166.60523987 -22.13049698)
4344,1665,,Chambeyronia divaricata,"Chambeyronia divaricata (Dammer) Hodel, Barrett, Bellot & Baker",Arecaceae,Chambeyronia,Chambeyronia divaricata,,21,6.50,,,false,false,11,,,,,,,754,3070,3,,false,true,POINT (166.60523987 -22.13049698)
